ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
#@_selected_concepts=*wīban|*kurnan|*xaimaz|*nikwiz|*gaistaz|*drenkanan|*bōsmaz|*stertaz|*bukkaz|*maisōn|*xurstiz|*markō|*leθran|*flaskō|*xalmaz|*dūbōn|*skuldiz|*xaftjan|*θurstuz|*spuran|*mainjanan|*xlībanan|*namōn|*xrīsan|*erθo|*xawwanan|*skēlō|*grunduz|*duran|*sōkjanan|*bladan|*xertōn|*fexu|*līman|*nēθlō|*marōn|*grabanan|*sakō|*wiraz|*θarmaz|*grōbō|*knabilaz|*xattuz|*brunnōn|*fextanan|*wakjanan|*rīdanan|*xitō|*mōsan|*sebun|*spennilō|*xrabnaz|*xailjanan|*kalbaz|*widuwōn|*gangaz|*faranan|*swerdan|*librō|*weljōn|*bergan|*bōguz|*θrejez|*sīdōn|*wurdan|*mēlan|*grīpanan|*xwerbilaz|*fallanan|*xaubudan|*laiθaz|*bazjan|*laubjanan|*leuθan|*steuran|*wentruz|*skalkaz|*malanan|*raisō|*rausan|*xanxistaz|*brūdiz|*neurōn|*spennanan|*xalsaz|*skelduz|*balluz|*nistan|*sterbanan|*newun|*tappōn|*salbō|*xundaz|*fuxsaz|*xerdō|*xnīgwanan|*xwōstōn|*θankaz|*strawjanan|*fedwōrez|*speru|*laugō|*xunagan|*medjaz|*burōjanan|*xagjaz|*burdiz|*xanduz|*draumaz|*wēgiz|*laθōjanan|*deuzan|*walaz|*spēnuz|*ēdro|*kernōn|*θūs-undī|*nablōn|*xultan|*xamaraz|*stīganan|*falθanan|*steltjōn|*xarmaz|*frustan|*stelanan|*farnan|*natjan|*barwōn|*dampaz|*xelpō|*naudiz|*xendjō|*xaslaz|*strangiz|*rūman|*brekanan|*wokraz|*utraz|*saumaz|*līkan|*bannan|*spangō|*leuxtjanan|*xandlōjanan|*laistjanan|*knuppaz|*stēnan|*beudanan|*θunraz|*skuman|*klembanan|*rastō|*garnan|*xaiθiz|*spannō|*natilōn|*xenkōjanan|*dēdiz|*bendanan|*θenxslō|*skuldrō|*sturkaz|*xuzdan|*kwalō|*end|*stōdan|*raθan|*θurpan|*libēnan|*geftiz|*xurnan|*nabō|*xelmaz|*wagnaz|*bō|*meldōn|*mizdō|*θeubaz|*wadanan|*wedran|*lauban|*melukz|*sturmaz|*wēpnan|*swellanan|*luban|*uxsōn|*wainōjanan|*sunuz|*waxsanan|*felθuz|*walθuz|*raukiz|*ūruz|*θengaz|*mōdaz|*skūflō|*segez|*randiz|*strakkjanan|*rustō|*stangō|*drankan|*gallan|*gebanan|*xagōn|*mēnōθz|*daigaz|*werθanan|*knakkaz|*ēlaz|*fulkan|*dagaz|*laukaz|*grasan|*werduz|*brandaz|*sīnaz poss.|*bakiz|*wīsjanan|*xawwjan|*temran|*budmaz|*uzdaz|*xrōpanan|*stebnō|*jukan|*sparēnan|*līban|*xraigrōn|*stallaz|*waxsan|*xariz|*blōdan|*lukan|*texun|*xwerbanan|*jugunθiz|*θwenganan|*regna-bugōn|*kruppaz|*dreupanan|*fōdran|*lungwan|*deljaz|*wendanan|*laimōn|*knewan|*fadēr|*magaθiz|*rēmaz|*lētanan|*freusanan|*beuganan|*blikan|*bōkz|*seglan|*līnan|*skattaz|*θakan|*furxō|*tīdiz|*skellin)az|*rennanan|*xabrōn|*flauxz|*sapōn|*tikkōn|*swemmanan|*maltaz|*kewwanan|*wrenganan|*waskanan|*xaglan|*θrengwanan|*ufnaz|*wadan|*nefōd|*jēran|*spikan|*flaiskaz|*būran|*bainan|*wakēnan|*wējanan|*laxstran|*wundran|*swestēr|*snaigwaz|*lakanan|*mūlōn|*regnan|*xemenaz|*swīnan|*skamō|*dailiz|*gulθan|*kōwz|*rōdō|*surgō|*θrēanan|*wextiz|*fleuganan|*seduz|*skaiθiz|*wiθra|*nebulō|*wurmaz/wurmiz|*watnan|*brūkanan|*geldanan|*xulōjanan|*slaxanan|*lukkaz|*gennanan|*braudan|*sexs|*xnakkaz|*stekanan|*warto|*bardaz|*barzan|*dalaz|*talaz|*setjanan|*skūrō|*igilaz/igulaz|*tangō|*snīθanan|*felxanan|*saltan|*trugan|*skībōn|*metanan|*fleuxanan|*sparrōn|*xōrōn|*dugunθiz|*drībanan|*kwiθuz|*xaldanan|*strawan|*tuxtiz|*fiskaz|*waldanan|*wasjanan|*waiθiz|*θelan|*wabsaz|*swalgwōn|*skawōjanan|*wīgjanan|*gansz|*baugjanan|*burdan|*raipan|*daupjanan|*baθan|*fastēnan|*westanē|*saiwalō|*lustuz|*etanan|*xabēnan|*bandan|*xazwaz|*θreskanan|*landan|*spannanan|*straumaz|*sūpanan|*skēpan|*rextjanan|*wixslan|*sandjanan|*rukkiz|*tauxmaz|*leusanan|*stelljanan|*skīnanan|*stabiz|*θegwernō|*flōduz|*stainaz|*bugōn|*listiz|*skeranan|*bakanan|*wangon|*līstōn|*skeubanan|*xelpanan|*fulōn|*bidjanan|*makōjanan|*suxtiz|*rugiz|*xaliθz|*reukanan|*landīn|*sprutōn|*glōdiz|*furxtīn|*wullo|*sai|*weslon|*reumōn|*sūganan|*spraidjanan|*kraftiz|*xerθaz|*dawwō|*klibēnan|*wulfaz|*xarbistuz|*berganan|*saliz|*naxtz|*raθjō|*ēdmaz|*rendō|*labbaz|*wira-aldiz|*werpanan|*luftuz|*sengwanan|*nemanan|*maxtiz|*naglaz|*dōnan|*fuwer|*taiknan|*liznōjanan|*likkōjanan|*slīpanan|*skandō|*sangjanan|*pleganan|*gastiz|*mōdēr|*xufan|*stamnaz|*swanaz|*bastan|*luxaz|*liθuz|*flextanan|*rēdanan|*brenganan|*sundrōjanan|*θurnuz|*waljanan|*slēpanan|*rōθraz|*tungōn|*kambaz|*tredanan|*balgiz|*frijōndz|*wulknan|*xelanan|*fengraz|*laisjanan|*spixtaz|*mastaz|*θestilaz|*skankjanan|*taixwō|*lendō|*rammaz|*nasō|*raixōn|*tūnan|*laidjanan|*sibaz|*brestanan|*sunnōn|*fenθanan|*xneusanan|*warpan|*brustz|*mixstilaz|*snōrō|*xallō|*xwīlō|*līθanan|*raubō|*xabukaz|*fellan|*θegnaz|*rēdan|*flaxsan|*smerwjanan|*satjanan|*launan|*lūsz|*funxwstiz|*fuglaz|*knedanan|*fanxanan|*lesanan|*jēmraz|*wurdjan|*bebruz|*gudaz|*skaftan|*bōkō|*xnappaz|*sumeraz|*gud|*skullōn|*wegaz|*fulgēnan|*xōfaz|*stōlaz|*sailō|*stukkaz|*swangwjanan|*mixstuz|*slīman|*maina-aiθaz|*benutaz|*θegwanōjanan|*spaldanan|*marīn|*webanan
#@sorted_taxa=Dutch|English|German|Proto-Germanic
#@sorted_concepts=*wīban|*kurnan|*xaimaz|*nikwiz|*gaistaz|*drenkanan|*bōsmaz|*stertaz|*bukkaz|*maisōn|*xurstiz|*markō|*leθran|*flaskō|*xalmaz|*dūbōn|*skuldiz|*xaftjan|*θurstuz|*spuran|*mainjanan|*xlībanan|*namōn|*xrīsan|*erθo|*xawwanan|*skēlō|*grunduz|*duran|*sōkjanan|*bladan|*xertōn|*fexu|*līman|*nēθlō|*marōn|*grabanan|*sakō|*wiraz|*θarmaz|*grōbō|*knabilaz|*xattuz|*brunnōn|*fextanan|*wakjanan|*rīdanan|*xitō|*mōsan|*sebun|*spennilō|*xrabnaz|*xailjanan|*kalbaz|*widuwōn|*gangaz|*faranan|*swerdan|*librō|*weljōn|*bergan|*bōguz|*θrejez|*sīdōn|*wurdan|*mēlan|*grīpanan|*xwerbilaz|*fallanan|*xaubudan|*laiθaz|*bazjan|*laubjanan|*leuθan|*steuran|*wentruz|*skalkaz|*malanan|*raisō|*rausan|*xanxistaz|*brūdiz|*neurōn|*spennanan|*xalsaz|*skelduz|*balluz|*nistan|*sterbanan|*newun|*tappōn|*salbō|*xundaz|*fuxsaz|*xerdō|*xnīgwanan|*xwōstōn|*θankaz|*strawjanan|*fedwōrez|*speru|*laugō|*xunagan|*medjaz|*burōjanan|*xagjaz|*burdiz|*xanduz|*draumaz|*wēgiz|*laθōjanan|*deuzan|*walaz|*spēnuz|*ēdro|*kernōn|*θūs-undī|*nablōn|*xultan|*xamaraz|*stīganan|*falθanan|*steltjōn|*xarmaz|*frustan|*stelanan|*farnan|*natjan|*barwōn|*dampaz|*xelpō|*naudiz|*xendjō|*xaslaz|*strangiz|*rūman|*brekanan|*wokraz|*utraz|*saumaz|*līkan|*bannan|*spangō|*leuxtjanan|*xandlōjanan|*laistjanan|*knuppaz|*stēnan|*beudanan|*θunraz|*skuman|*klembanan|*rastō|*garnan|*xaiθiz|*spannō|*natilōn|*xenkōjanan|*dēdiz|*bendanan|*θenxslō|*skuldrō|*sturkaz|*xuzdan|*kwalō|*end|*stōdan|*raθan|*θurpan|*libēnan|*geftiz|*xurnan|*nabō|*xelmaz|*wagnaz|*bō|*meldōn|*mizdō|*θeubaz|*wadanan|*wedran|*lauban|*melukz|*sturmaz|*wēpnan|*swellanan|*luban|*uxsōn|*wainōjanan|*sunuz|*waxsanan|*felθuz|*walθuz|*raukiz|*ūruz|*θengaz|*mōdaz|*skūflō|*segez|*randiz|*strakkjanan|*rustō|*stangō|*drankan|*gallan|*gebanan|*xagōn|*mēnōθz|*daigaz|*werθanan|*knakkaz|*ēlaz|*fulkan|*dagaz|*laukaz|*grasan|*werduz|*brandaz|*sīnaz poss.|*bakiz|*wīsjanan|*xawwjan|*temran|*budmaz|*uzdaz|*xrōpanan|*stebnō|*jukan|*sparēnan|*līban|*xraigrōn|*stallaz|*waxsan|*xariz|*blōdan|*lukan|*texun|*xwerbanan|*jugunθiz|*θwenganan|*regna-bugōn|*kruppaz|*dreupanan|*fōdran|*lungwan|*deljaz|*wendanan|*laimōn|*knewan|*fadēr|*magaθiz|*rēmaz|*lētanan|*freusanan|*beuganan|*blikan|*bōkz|*seglan|*līnan|*skattaz|*θakan|*furxō|*tīdiz|*skellin)az|*rennanan|*xabrōn|*flauxz|*sapōn|*tikkōn|*swemmanan|*maltaz|*kewwanan|*wrenganan|*waskanan|*xaglan|*θrengwanan|*ufnaz|*wadan|*nefōd|*jēran|*spikan|*flaiskaz|*būran|*bainan|*wakēnan|*wējanan|*laxstran|*wundran|*swestēr|*snaigwaz|*lakanan|*mūlōn|*regnan|*xemenaz|*swīnan|*skamō|*dailiz|*gulθan|*kōwz|*rōdō|*surgō|*θrēanan|*wextiz|*fleuganan|*seduz|*skaiθiz|*wiθra|*nebulō|*wurmaz/wurmiz|*watnan|*brūkanan|*geldanan|*xulōjanan|*slaxanan|*lukkaz|*gennanan|*braudan|*sexs|*xnakkaz|*stekanan|*warto|*bardaz|*barzan|*dalaz|*talaz|*setjanan|*skūrō|*igilaz/igulaz|*tangō|*snīθanan|*felxanan|*saltan|*trugan|*skībōn|*metanan|*fleuxanan|*sparrōn|*xōrōn|*dugunθiz|*drībanan|*kwiθuz|*xaldanan|*strawan|*tuxtiz|*fiskaz|*waldanan|*wasjanan|*waiθiz|*θelan|*wabsaz|*swalgwōn|*skawōjanan|*wīgjanan|*gansz|*baugjanan|*burdan|*raipan|*daupjanan|*baθan|*fastēnan|*westanē|*saiwalō|*lustuz|*etanan|*xabēnan|*bandan|*xazwaz|*θreskanan|*landan|*spannanan|*straumaz|*sūpanan|*skēpan|*rextjanan|*wixslan|*sandjanan|*rukkiz|*tauxmaz|*leusanan|*stelljanan|*skīnanan|*stabiz|*θegwernō|*flōduz|*stainaz|*bugōn|*listiz|*skeranan|*bakanan|*wangon|*līstōn|*skeubanan|*xelpanan|*fulōn|*bidjanan|*makōjanan|*suxtiz|*rugiz|*xaliθz|*reukanan|*landīn|*sprutōn|*glōdiz|*furxtīn|*wullo|*sai|*weslon|*reumōn|*sūganan|*spraidjanan|*kraftiz|*xerθaz|*dawwō|*klibēnan|*wulfaz|*xarbistuz|*berganan|*saliz|*naxtz|*raθjō|*ēdmaz|*rendō|*labbaz|*wira-aldiz|*werpanan|*luftuz|*sengwanan|*nemanan|*maxtiz|*naglaz|*dōnan|*fuwer|*taiknan|*liznōjanan|*likkōjanan|*slīpanan|*skandō|*sangjanan|*pleganan|*gastiz|*mōdēr|*xufan|*stamnaz|*swanaz|*bastan|*luxaz|*liθuz|*flextanan|*rēdanan|*brenganan|*sundrōjanan|*θurnuz|*waljanan|*slēpanan|*rōθraz|*tungōn|*kambaz|*tredanan|*balgiz|*frijōndz|*wulknan|*xelanan|*fengraz|*laisjanan|*spixtaz|*mastaz|*θestilaz|*skankjanan|*taixwō|*lendō|*rammaz|*nasō|*raixōn|*tūnan|*laidjanan|*sibaz|*brestanan|*sunnōn|*fenθanan|*xneusanan|*warpan|*brustz|*mixstilaz|*snōrō|*xallō|*xwīlō|*līθanan|*raubō|*xabukaz|*fellan|*θegnaz|*rēdan|*flaxsan|*smerwjanan|*satjanan|*launan|*lūsz|*funxwstiz|*fuglaz|*knedanan|*fanxanan|*lesanan|*jēmraz|*wurdjan|*bebruz|*gudaz|*skaftan|*bōkō|*xnappaz|*sumeraz|*gud|*skullōn|*wegaz|*fulgēnan|*xōfaz|*stōlaz|*sailō|*stukkaz|*swangwjanan|*mixstuz|*slīman|*maina-aiθaz|*benutaz|*θegwanōjanan|*spaldanan|*marīn|*webanan
#@display=filedisplay
#@missing_marker=Ø
#@separator=	
#@gap_marker=-
#@formatter=COGID
#@root_formatter=false
#@note_formatter=NOTE
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=germanic
#@navbar=true
#@_morphology_mode=full
